id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,batting_first_team,chasing_team,batting_first_won,chasing_won,toss_winner_won
476,2014,Abu Dhabi,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,tie,0,Tie,0,0,JP Faulkner,Sheikh Zayed Stadium,Aleem Dar,AK Chaudhary,,Rajasthan Royals,Kolkata Knight Riders,0,0,0
477,2014,,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,15,0,B Kumar,Dubai International Cricket Stadium,HDPK Dharmasena,M Erasmus,,Mumbai Indians,Sunrisers Hyderabad,0,1,0
478,2014,Ranchi,2014-02-05,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,34,0,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong,,Chennai Super Kings,Kolkata Knight Riders,1,0,1
479,2014,Mumbai,2014-03-05,Punjab Kings,Mumbai Indians,Punjab Kings,bat,normal,0,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium,BNJ Oxenford,C Shamshuddin,,Punjab Kings,Mumbai Indians,0,1,0
480,2014,Delhi,2014-03-05,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,KK Nair,Feroz Shah Kotla,SS Hazare,S Ravi,,Rajasthan Royals,Delhi Capitals,1,0,1
481,2014,Bangalore,2014-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,4,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VA Kulkarni,,Royal Challengers Bangalore,Sunrisers Hyderabad,1,0,1
482,2014,Ahmedabad,2014-05-05,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,10,0,PV Tambe,"Sardar Patel Stadium, Motera",NJ Llong,CK Nandan,,Kolkata Knight Riders,Rajasthan Royals,0,1,0
483,2014,Delhi,2014-05-05,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,DR Smith,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,,Chennai Super Kings,Delhi Capitals,1,0,1
484,2014,Mumbai,2014-06-05,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,19,0,RG Sharma,Wankhede Stadium,S Ravi,K Srinath,,Royal Challengers Bangalore,Mumbai Indians,0,1,0
485,2014,Delhi,2014-07-05,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,Feroz Shah Kotla,BNJ Oxenford,C Shamshuddin,,Delhi Capitals,Kolkata Knight Riders,0,1,0
486,2014,Cuttack,2014-07-05,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,normal,0,Punjab Kings,44,0,GJ Maxwell,Barabati Stadium,HDPK Dharmasena,PG Pathak,,Chennai Super Kings,Punjab Kings,0,1,0
